Document ID,Document Text,Document Type,Grantors,Grantees,Legal Authorities,Acreage,Boundaries,Lot Info,City,County,Province/Colony,Execution Date,Recording Date
000001-0226,"Nineteen forty rods which is the East bound then turning westwardly across said lot and lot Number seventeen the same point of compass is parallel with the Squadron lines of the lots till we come to the road on the westwardly of said lot Number seventeen which line is the southward bound westwardly and Northwardly on the road. To Have and To HOLD the before granted premises with all the Privileges appurtenances Privileges and Immunities thereunto belonging to him the said Zechariah Thomas his heirs and assigns forever To his and their own Proper use benefit and behoof forevermore. And I the said Ephraim Thomas for my self Heirs Executors and Administrators Do Covenant Promise and Grant to and with the said Zechariah Thomas his Heirs and Assigns forever that before and Until the Ensealing hereof I am the true Sole and lawfull owner and Possessor of the before Granted Premises with the appurtenances and have in my self good Right full power and lawfull authority to Give grant bargain sell Alien Release Convey and Confirm the same as aforesaid and that free and Clear and freely and Clearly Executed acquitted and Discharged of and from all former and Other gifts grants bargains sales leases Mortgages Wills Entails Jointures Dowries thirds Executions and Incumbrances whatsoever. And Furthermore I the said Ephraim Thomas for my self Heirs Executors and Administrators Do Hereby covenant Promise and Engage the before granted Premises with the appurtenances to him the said Zechariah Thomas his Heirs and assigns forever to Warrant Secure and Defend against the lawfull claims or Demands of any Person or persons whatsoever. In Witness whereof I the said Ephraim Thomas have hereunto Set my hand and Seal this twenty Second Day of December A.D. 1757 and in the thirtieth Year of the Reign of his Majesty King George the Second &c. Signed Sealed and Delivered in presence of us [Ephraim Thomas] [Seal] Gershom Woodworth, Abiah Warren. Hampshire SS. January the 12th 1758 Then Ephraim Thomas the above Signer and Sealer Acknowledged the foregoing Instrument to be his free act and Deed Before me Jabez Ward Justice of Peace. Rec'd August 31st 1758 and Recorded from the Original. Pr Edwd Pynchon Reg'r",Deed,Ephraim Thomas,Zechariah Thomas,"Jabez Ward, Justice of Peace, Edwd Pynchon, Reg'r",,"East bound of nineteen forty rods, Westwardly across lot and lot Number seventeen, Parallel with the Squadron lines of the lots till the road, Southward bound westwardly and Northwardly on the road",Lot and lot Number seventeen,,Hampshire,,"December 22, 1757","August 31, 1758"
000001-0546,"...then running northerly the west side of said grist mill & very past the edge of the road thence to the aforesaid bridge to the Highway & then southerly along the Highway to the first mentioned bound. Together with one half of the grist mill lately built on said land with one half the Dam built for the use of said Grist mill with one half of the running Gear of same Mill stones & one half of every tool & Utensil belonging or any way appertaining to said Grist mill together with the whole of said Iron work thence for the use & improvement of said Grist mill or Grist mills that are built or shall be built on said land by said John Ashley his Heirs or assigns. To Have and To Hold the said Granted and bargained Premises with all the commodities privileges and appurtenances to the same belonging or any way appertaining to him the said John Ashley his Heirs and assigns to his & their only proper use and benefit forever. And I the said James Smith for my self my Heirs Executors and Administrators Do hereby Covenant grant and agree to and with the said John Ashley his Heirs and assigns that Until the Delivery hereof I am the lawful owner of the said Premises & am lawfully Seized and possessed thereof in my own Right In Fee Simple and have full power and lawful authority to grant and convey the same in manner aforesaid, that the said Premises are free and clear of all and every Incumbrance whatsoever. And that I my Self my Heirs Executors and Administrators shall and will Warrant the same to him the said John Ashley his Heirs and assigns against the lawful Claims and Demands of any Person or persons whomsoever. In testimony whereof I have hereto Set my hand & Seal this Second Day of April Seventeen Hundred & Eighty three & in the thirty Second Year of his Majesty's Reign &c. Signed Sealed & Delivered In Presence of [W. Williams, John Ashley junr.] [James Smith (Seal)] Hampshire ss. April ye 10th 1783 Personally appeared the above named James Smith and acknowledged the foregoing Instrument to be his Act and Deed before me [Wm. Woodbridge] Justice Peace. Recd april 13-1783 & Recorded from the Original [F. Edw. Pynchon Regr.]",Deed,James Smith,John Ashley,"Wm. Woodbridge (Justice Peace), F. Edw. Pynchon (Registrar)",Not specified,"West side of grist mill, Bridge, Highway","Land with one half of a grist mill, one half of the dam, one half of the running gear, mill stones, and tools, plus all iron work",Not specified in visible portion,Hampshire,,"April 2, 1783","April 13, 1783"
000001-0734,"Know all men by these presents that I George Bates of Springfield in the County of Hampshire Province of the Massachusetts Bay in New England, yeoman, for & in consideration of the just sum of thirteen pounds six shillings & eight pence money to me in hand paid before the delivery hereof by Daniel Lamb of Springfield in said County yeoman, have given granted bargained and sold and do by these presents give grant bargain sell alien and fully freely and absolutely convey and confirm unto him the said Daniel Lamb his heirs and assigns forever, one certain piece or parcel of land in the westerly part of Springfield, situate & lying on the west side of the Country Road containing forty acres being the place whereon I now dwell, bounding South on land lately belonging to the Heirs of Mr. Samuel Merrifield Deceas'd, West on land belonging to the said Daniel, North on Martin's land & Easterly on common land the particular limits of the same thereof on the proper Book of Records in Springfield may at large appear reference thereunto being had...",Deed,George Bates,Daniel Lamb,"Abigail Scott, William Scott",40 acres,"South on land lately belonging to the Heirs of Mr. Samuel Merrifield Deceased, West on land belonging to the said Daniel [Lamb], North on Martin's land, Easterly on common land",being the place whereon I [George Bates] now dwell,Springfield,Hampshire,,"May 3, 1766",
000001-0786,"Sealer did acknowledge the same to be his free act and Deed before me James Wadsworth Jus Peace. Rec'd August 29th 1759 & Recorded from the Original. P Elihu Lynchon Reg'r. Know all men that I Ephraim Coe of Durham in the County of Hartford in the Colony of Connecticut in New England for and in consideration of love and interest & affection which I have to my son Seth Coe of the same town & County in the first Society of Middletown and Province of the Massachusetts Bay, do by these presents give, grant, bargain, convey to the Seth Coe his Heirs assigns forever a certain piece of land lying in Granville in the County of Hampshire & province aforesaid containing twenty six acres & sixty three rods two hundred and bounds as follows, beginning at a Beach standing in the North East Corner of Elizabeth Coe's well lot, then run East two hundred & twenty four rods, then North thirty one rods two feet nine inches, then East twenty rods, then North thirty one rods two feet three inches, then west two hundred & twenty four rods, then South fifty one rods ten feet eleven inches, to the first mentioned bound. To Have and To Hold & granted premises with the privileges and appurtenances to the same belonging unto him the Seth Coe his Heirs and assigns forever to his & their own and benefit & behoof, and I the said Ephraim Coe do covenant to & with for my Self & Heirs Executors and Administrators & covenant to & with the Seth Coe his Heirs & assigns forever that until the Ensealing hereof I am well seized and possessed of the premises as a good absolute Estate In fee Simple and have good Right to grant convey and assure the same in manner above written and that the Seth Coe his Heirs and assigns shall and may at all times forever hereafter by force and virtue hereof lawfully and peaceably have hold use possess and enjoy the premises free and clear of all Incumbrances whatsoever. Furthermore I the said Ephraim Coe do hereby for my Self & for my Heirs covenant and Engage to Warrant Secure and Defend the above granted premises unto the Seth Coe his Heirs & assigns forever against all Claims and Demands of all persons whomsoever. In Witness whereof I have Set my Hand and Seal this twenty third Day of October which is in the year of our Lord 1756. Signed Sealed and Delivered in presence of us [Simeon Parsons, Noah Parsons] Ephraim Coe [seal]. Durham October 19th A.D. 1756. Then personally appeared Ephraim Coe the above Signer and Sealer and acknowledged the same to be his free act and Deed. Before me James Wadsworth Jus Peace. Rec'd August 29th 1759 & Recorded from the Original. P Elihu Lynchon Reg'r. Know all men by these presents that I Daniel Brown of a Place called number 9 in the County of Hampshire in the Province of the Massachusetts Bay for and in consideration of thirty five pounds lawful money to me in hand paid by Abigail Coe the wife of Joseph Coe of Middletown in the parish of Middlefield in the County of Hartford in the Colony of Connecticut to my full satisfaction I have therefore given granted bargained sold and...",Land Deed,"Ephraim Coe, Daniel Brown","Seth Coe, Abigail Coe","James Wadsworth, Justice of Peace, Elihu Lynchon, Registrar",twenty six acres & sixty three rods two hundred,"beginning at a Beach standing in the North East Corner of Elizabeth Coe's well lot, then run East two hundred & twenty four rods, then North thirty one rods two feet nine inches, then East twenty rods, then North thirty one rods two feet three inches, then west two hundred & twenty four rods, then South fifty one rods ten feet eleven inches, to the first mentioned bound",a certain piece of land lying in Granville in the County of Hampshire,"['Durham', 'Middletown', 'Middlefield', 'Granville', 'Number 9']","['Hartford County', 'Hampshire County']",,"October 23, 1756","August 29, 1759"
000001-0297,"And this his assigns forever a certain tract or parcel of land situated in ye Township of [?] in the County of Hampshire in the Province of the Massachusetts Bay Between Sheffield [?] all the land that doth or hereafter shall belong to the said lot in Number in ye Township aforesaid by Virtue of my owning the said lot in number that is to say one third of what is already laid out to me Equal part with the other Proprietors in ye Township in all the undivided lands that doth or shall hereafter belong to ye Township or proprietors with the privileges and appurtenances to the same belonging To Have and To Hold the above granted and bargained premises with the appurtenances thereto unto him the said Josiah Willoughby and to his Heirs and assigns forever to his and their own proper use and behoof and also I the said David Longbottom for myself my Heirs Executors and Administrators covenant with the said Josiah Willoughby his heirs and assigns that at and untill the Ensealing of these presents I am well seized of the Premises as a good indefeasible Estate in fee Simple and have good Right to bargain and sell the same in manner and form as is above written and that the same is free of all Incumbrances whatsoever. And Furthermore I the said David Longbottom do by these presents bind my Self and my Heirs forever to Warrant and Defend the above granted and bargained Premises to him the said Josiah Willoughby and to his Heirs and assigns against all Claims and Demands whatsoever. In Witness whereof I have hereunto set my hand and seal the 19th Day of January in the thirty first Year of the Reign of our Sovereign Lord George ye Second of Great Britain &c King Annoque Domini 1758. Signed Sealed and Delivered In Presence of Moses Morse, Elijah Willoughby. David Longbottom [Seal] Norwich in New London County the 26 Day of September 1758 Then Personally appeared Mr. David Longbottom Signer and Sealer to the above written Instrument and acknowledged the same to be his free act and Deed. Before me Jacob Perkins Justice of ye Peace Recd October 13th 1758 and Recorded from the Original Edwd Pynchon Regr",Warranty Deed,David Longbottom,Josiah Willoughby,"Jacob Perkins, Justice of Peace, Edward Pynchon, Register",Not specified,Not detailed in this portion of document,Reference to a numbered lot in the township with one-third interest in already laid out land and equal part in undivided lands,Not specifically stated for the property,Hampshire County,,"January 19, 1758","October 13, 1758"
000001-0075,"Butted & Bounded as doth appear by the Survey thereof in Springfield Book of Records of Lands (reference thereunto being had), To Have and To Hold the said Granted Bargained Premises with the appurtenances & privileges thereto belonging to him the said Anthony Needham his Heirs & assigns to his & their own proper use benefit & behoof forever, and I the said Thos King for myself my Heirs Exec'rs & admin'rs do covenant Promise & Grant unto & with the said Anthony Needham his Heirs & assigns forever that before & untill the Ensealing hereof I am the true sole and lawfull owner & possessed of the before Granted Premises with the appurtenances & have in myself good & perfect power & lawfull authority to convey the same as aforesaid and that free & clear & freely and clearly Exonerated Acquitted and Discharged of and from all former and Other gifts grants bargains Sales Leases mortgages Wills Entails Joyntures Dowries thirds Executions and Incumbrances whatsoever Furthermore I the said Thos King for me my Heirs Executors & admin'rs Do hereby Covenant Promise and Engage the before Granted premises with the appurtenances unto him the said Anthony Needham his Heirs and assigns forever to Warrant Secure & Defend against the lawfull Claims or Demands of any Person or persons whatsoever In Witness whereof I the said Thos King have hereunto set my Hand and Seal this Eleventh Day of March in the 27th Year of the Reign of our Sovereign Lord George the Second King of Great Britain &c annoq'e Domini 1754. Signed Sealed & Delivered in the presence of [Thomas King & Seal] [John Sherman] [James Thompson Jun'r] Hampshire ss. Springfield March the 11th 1754 Then Thomas King Subscriber to the foregoing Instrument appeared & acknowledged the same to be his act & Deed Before John Sherman Just. Peace. Rec'd May 11th 1754 & Recorded from the Original P Edw'd Pynchon Reg'r. Know all men by these Presents that I Thos French of Deerfd [Deerfield] Jun'r in ye County of Hampshire and Province of ye Massachusetts Bay in new England Husbandman for and in Consideration of Six pounds thirteen Shillings and four pence lawfull money paid to me by Sam'll Hinsdell of ye Town County and Province above'd [abovesaid] (Province) (Yeoman) ye Receipt whereof I do hereby acknowledge and do hereby Give Grant and Convey to ye Sd Sam'll (Hampsh) Hinsdell to his Heirs &c forever, one tract of land in ye Township of Sd Deerfield lying at ye North End",Land Deed,"Thomas King, Thomas French Junior","Anthony Needham, Samuel Hinsdell","John Sherman, Justice of Peace, Edward Pynchon, Register",,Butted & Bounded as doth appear by the Survey thereof in Springfield Book of Records of Lands,one tract of land in ye Township of Sd Deerfield lying at ye North End,"Springfield, Deerfield",Hampshire,,"March 11, 1754","May 11, 1754"
000001-0135,of the Sum of Sixteen Hundred pounds... paid by Samuel Wardwell living above the town of Wenham on the East Side of the Great River in the County of Hampshire in said Province...,Deed of Sale/Land Conveyance,Samuel Wardwell,-,Multiple signatories visible at bottom of document,,East Side of the Great River,Tract or parcel of land that was granted to the Proprietors by the General Court of the Province,Wenham,Hampshire,,,
000001-0086,"In manner as aforesaid. And that the said Jacob Wendell his Heirs and assigns shall and may from time to time and at all times forever hereafter by force and virtue of these presents lawfully peaceably and quietly have hold use occupy possess and enjoy the said demised and bargained premises with the appurtenances free and clear and freely and clearly acquitted exonerated and discharged of from all and all manner of former or other gifts grants bargains sales leases Mortgages Wills Entails Jointures Dowers Judgments Executions Encumbrances of what Name or Nature soever that might in any measure or Degree obstruct or make Void this Present Deed. Furthermore the said William Williams for my self my Heirs Executors and administrators do covenant and engage the above demised premises to him the said Jacob Wendell his Heirs and assigns against the lawful Claims or Demands of any person or persons whatsoever forever hereafter the costs to Warrant secure and Defend by these Presents. Provided Nevertheless and it is to be Understood That the above Deed is given as a collateral security for the payment of the sum of one hundred thirty eight pounds 14/6 lawful money with the Interest thereof which the said William Williams stands bound to pay to the said Jacob Wendell Esq. by his Bond Dated April 18 1758. Now if the said William Williams his Heirs Executors or Administrators shall well and truly pay or cause to be paid to the said Jacob Wendell his Heirs or assigns the aforesaid sum of one hundred thirty eight pounds 14/6 at on or before the 18th day of April 1759 together with the lawful Interest that may be then due on said Bond then the above Deed to be Void or Null and of none Effect otherwise to abide & remain in full force. In witness whereof I have hereto set my hand & seal this second day of May in the thirty first year of his Majesty's Reign Anno Domini 1758. Signed Sealed & Delivered in Presence of [signatures] William Williams & Seal. Suffolk ss. May 4, 1758 William Williams appearing acknowledged the foregoing Instrument to be his free act & Deed before me J. Danforth J. Pac. Recd May 18, 1758 & Recorded from the Original. Edw. Lynchon Regr. To all People to whom These presents shall come Greeting Know ye that I G.W. Barton of Sutton in the County of Worcester Husbandman for and in Consideration of the good will I bear to my son Ezekiel Barton of said Sutton My Kindness for his advancement & settlement...",Mortgage Deed with Conditional Release Clause,William Williams,Jacob Wendell,"J. Danforth, Justice of the Peace, Edw. Lynchon, Register",Not specified,Not specified in visible text,Referred to as 'demised and bargained premises with the appurtenances',Not specified for main deed; Sutton mentioned in second document,Suffolk (for acknowledgment); Worcester (in second document),,"May 2, 1758","May 18, 1758"
000001-0460,"...in New England, To Have and to Hold the same to the said Joshua Whitney his Heirs And also covenant with the said Joshua Whitney his heirs and assigns that I am lawfully seized in fee of the Premises that they are free of all Encumbrances, That I have good right to sell and convey the same to the said Joshua Whitney his Heirs and assigns forever To Hold as aforesaid And that I will Warrant and Defend the same to the said Joshua Whitney his Heirs and assigns forever against the lawful Claims and Demands of all Persons whatsoever. In Witness whereof I have hereunto set my hand and Seal this 1st Day of April and in the Twenty Ninth Year of the Reign of our Sovereign Lord George ye Second King of Great Britain &c Anno Domini 1756. [Signed, Sealed and Delivered In Presence of] David Whitney [Seal] Zebulon Richard Solomon Whitney. Canaan In Litchfield County June ye 9th Day A.D. 1756. Then personally appeared David Whitney Signer and Sealed to ye within written Instrument and acknowledged the same to be his free act and Deed Before me John Beebe Justice of ye Peace. Rec'd. Febry 22nd 1759 & Recorded from the Original. G. Pynchon Regr. To all People to whom these Presents shall Come Greeting Know Ye I Ebenezer Stevens of Canaan in the County of Litchfield in the Colony of Connecticut in new England, For The Consideration of Two Hundred and Fifty pounds old tenor to me in hand paid before the sealing hereof by Joshua Whitney of said Canaan The Receipt whereof I do hereby acknowledge my Self Therewith Satisfied, Do by these presents Give grant bargain sell convey and confirm unto the said Whitney his Heirs and assigns forever, all a certain part or parcel of land belonging to the fifth House Lot in the Township Num: Two in the unorganized Townships in the County of Hampshire and Province of the Massachusetts, otherwise new Marlborough in the County of Hampshire and Province aforesaid, That is to say, all the after Drafts that is Yet to lay out in said Township the whole of one Undivided Right in said new Marlborough the whole of",Deed,"David Whitney, Ebenezer Stevens",Joshua Whitney,"John Beebe, Justice of the Peace, G. Pynchon, Register",Not specified,Not explicitly stated in visible text,Fifth House Lot in the Township Number Two; one Undivided Right in new Marlborough,New Marlborough,"Hampshire County, Litchfield County",,"April 1, 1756","February 22, 1759"
000001-0558,"I Joseph Ashley have hereunto set my hand & seal this 20th Day of January anno Domini one thousand seven hundred & fifty the Signed Sealed & Delivered In Presence of John Bancroft Elisha Banks. Hampshire ss: March 14th 1750/1 Joseph Ashley the subscriber to the within written Instrument personally appeared and acknowledged the same to be his act and Deed Before me Israel Ashley Just. Pacis Recd April 27th 1751 & Recorded from the Original P Edw. Pynchon Regr. Know all men that I Ebenezer Belden of Hatfield now Resident at a Place called Hunts town in the County of Hampshire and Province of the Massachusetts Bay in new England, In Consideration of Eight pounds Lawful money to me in hand paid by Nathaniel Coleman of Hatfield in the County and Province aforesaid the Receipt whereof I do hereby acknowledge and am fully satisfied and paid Have Given Granted bargained and sold and do by these presents give grant bargain sell alien Enfeoffe and freely and absolutely Convey and Confirm unto him the said Nathaniel Coleman his Heirs Executors Administrators and assigns forever, a Certain Small lot of land with House and barn Standing thereon & land lies in a place called the Straits within Broad Street farm so called Containing Eight acres by Estimation be it less or more is twenty four rods in Breadth and is bounded as followeth (viz) Easterly on Highway or Country Road western Coleman land Northern land belonging to the Heirs of Thomas Bordwell decd and Southern land belonging to S. Coleman, Together with all the privileges and appurtenances thereof, To Have and To Hold to the said Coleman his Heirs and assigns as free Inheritance In fee Simple forever And I the said Ebenezer Belden do hereby avouch myself to be the sole lawful owner of the bargained premises and am lawfully seized thereof and have good Right to Dispose of the same as aforesaid, and that they are free from all Incumbrances whatsoever and do also hereby for my self my Heirs Executors and administrators forever warrant the said Nathaniel Coleman his Heirs and assigns the Granted and bargained Premises and appurtenances against the lawful Claims and Demands of all Persons whomsoever To Warrant and forever Defend",Deed of Sale,Ebenezer Belden of Hatfield,Nathaniel Coleman of Hatfield,"Joseph Ashley (signatory), Israel Ashley (Justice of the Peace), Edw. Pynchon (Registrar), John Bancroft (witness), Elisha Banks (witness)",Eight acres by Estimation be it less or more,"Easterly on Highway or Country Road, Western Coleman land, Northern land belonging to the Heirs of Thomas Bordwell decd, Southern land belonging to S. Coleman","a Certain Small lot of land with House and barn Standing thereon & land lies in a place called the Straits within Broad Street farm so called, twenty four rods in Breadth",Hatfield,Hampshire,,"January 20, 1750","April 27, 1751"
000001-0118,"Know all men by These Presents That I Josiah Alford of Simsbury in the County of Hartford and Colony of Connecticut in New England for and in consideration of the good will and affection I have and do bear unto my kinsman Elijah Alford of said Simsbury in said County and Colony, have Given Granted bargained conveyed and confirmed unto him the said Elijah Alford and to his Heirs and assigns to his and their only use benefit and behoof forever, a certain small or share of land lying and being in the County of Hampshire and Province of the Massachusetts Bay at a place commonly known by the Name of No. 4 of the Narraganset belonging to said Right So known by the Propriety four in said Town Ship with the Divisions & after Divisions belonging thereto being the same lot of land I bought of one David King of said No. 4, to my said son Elijah Alford or his Heirs & fulfilling and performing the conditions and limitations proposed by the General Court of said Province to be done on said Right of land To Have and to Hold all the Before granted Premises with all & singular the Profits Privileges and appurtenances thereto belonging to him the said Elijah Alford and to his Heirs and assigns to his and their own proper use benefit and behoof forever. And I the said Josiah Alford and my Heirs Executors and Administrators do Covenant Promise and Grant unto and with the said Elijah Alford and his Heirs and Assigns forever That before & until the Ensealing hereof I am the true and lawful owner of the afore granted premises, and that I have good Right to Convey the same as in these presents I have done, and that it is free from all Incumbrances whatsoever. And furthermore I the said Josiah Alford do for my self my Heirs Executors & Administrators Covenant and Promise and Engage to Warrant Secure and Defend the said Granted and aliened premises unto my said son Elijah Alford and to his Heirs & assigns forever against all Claims and Demands whatsoever. In Witness whereof I have hereunto set my hand and seal this 13th Day of October and in the thirty first Year of his Majesties Reign Anno Domini 1751. Signed Sealed and Delivered in presence of John Owen Brewster Higley Jr. Hartford County ss. Simsbury October 17. A.D. 1751 Then personally appeared Josiah Alford the above named signed and sealed and acknowledged the above written Instrument to be his free act and deed Before John Owen Justice of Peace. Rec'd June 20 - 1753 and Recorded from the Original [signature of register]",Deed of Gift,"Josiah Alford of Simsbury, Hartford County, Connecticut","Elijah Alford of Simsbury, Hartford County, Connecticut","John Owen, Justice of Peace, Brewster Higley Jr. (witness)",Not specified,Not explicitly stated,"A certain small or share of land at No. 4 of the Narraganset, belonging to Propriety four in said Township, with the Divisions & after Divisions belonging thereto, being the same lot of land bought of one David King of said No. 4",Simsbury,"['Hartford County (Connecticut)', 'Hampshire County (Massachusetts)']",,"October 13, 1751","June 20, 1753"
000001-0583,"their only proper use benefit and behalf forever. And I the said Samuel Sacket for me & my Heirs Executors and Administrators do covenant Promise and Grant to and with David Moseley & his Heirs and assigns that before the Executing hereof I am the true sole and lawful owner of the above bargained premises and am lawfully seized and possessed of the same in my own proper Right as good perfect and absolute Estate of Inheritance in Fee Simple and have in me good Right full power and lawful Authority to Grant bargain sell Convey and Confirm said bargained premises in manner as aforesaid and that David Moseley & his Heirs and assigns shall and may from time to time and at all times forever hereafter by force and Virtue of these presents lawfully peaceably and quietly have hold use Occupy possess and Enjoy the said Demised and bargained premises with the appurtenances free and Clear and freely and Clearly Acquitted Exonerated and Discharged of from all and all manner of former or other gifts grants bargains sales leases Mortgages Wills Entails Jointures Dowries judgements Executions or Incumbrances of what kind or Nature soever that might in any measure or Degree Obstruct make Void this Present Deed. Furthermore I Samuel Sacket for myself my Heirs Executors and Administrators do covenant and Engage the above Demised Premises to him the said David Moseley & his Heirs and assigns against the lawful Claims or Demands of any Person or persons whatsoever forever hereafter to Warrant Secure and Defend by these presents. In Witness whereof I the S[aid] Sam[uel] Sacket have hereunto set my hand and Seal this 19th Day of March in ye 30 Year of His Majesty's Reign Anno Domini 1757. Signed Sealed and Delivered In Presence of [witnesses] Sam Sacket [his mark] Noah Loomis, Ebenezer Trumble, Pract[itioner] Hampsh[ire] ss. Westfield March 19th 1757 Sam Sacket the Subscriber to the within written Instrument appeared and acknowledged the same to be his act and Deed. Before me Pract[itioner] Westfield Just. Peace Rec[orded] May 17th 1757 & Recorded from the Original by Edw[ard] Pynchon Reg[ister]. To all People to whom these Presents shall come Greeting. Know ye that Ignite Davis of Ward River Parish so called in the County of Hampshire in his Majesties Province of the Massachusetts Bay in new England Husbandman For and in consideration of the Sum",Deed,Samuel Sacket,David Moseley,"Practitioner Westfield Just. Peace, Edward Pynchon, Register",,,bargained premises with the appurtenances,Westfield,Hampshire,,"March 19, 1757","May 17, 1757"
000001-0616,,,,,,,,,,,,,
000001-0627,"...have conveyed and confirmed, and by these presents do freely and clearly and absolutely give grant bargain sell alien release and convey and confirm unto him the said Joseph Frost his Heirs and assigns forever several certain Tracts of land situate and lying in the Town of Springfield at a place called Skipmuck the first piece of land is Ten acres to be taken on the west side of the abovesaid Jonathan Morgans Homestead with the House and barn upon said land and all other appurtenances thereto belonging said ten acres is forty rods and five foot in breadth East and west and also four Tracts of land in the Home field so called, the first is three acres joyning to the brook on the South and west on land of Benjamin and Stephen Norton and East on John Nortons land and North on another piece of New land containing one acre and a half Bounded west on Benjamin and Stephen Norton North on John Nortons land and East on Stephen Nortons land Another Tract of land bounded East on the River South on Benjamin Nortons west on John Nortons land North on Stephen Nortons land containing one acre and a half being Ten rods wide, also another tract of land containing six acres west on John Nortons and South on John Nortons East and North on the River, also Two Tracts of land in the meadow, The first contains fifty eight acres called botly land bounded South on the River and North on the Hill, and another Tract of land being Eighteen rods wide containing Nine acres ajoyning the aforesaid botly land bounded North on the hill and South on the brook west on Nortons land; also another Tract of land lying by Five brook, bounded South on the River East on — said Jonathan Morgans land and North on the hill containing Twelve acres however the same is bounded or reputed to be bounded TO HAVE AND TO HOLD the before granted premises with the appurtenances and Privileges thereto belonging to him the said Joseph Frost his heirs and assigns to his and their own proper use benefit and behoof forevermore and the said Roger Cooley for my self my Heirs Executors administrators do covenant Promise and Grant unto and with the said Joseph Frost his Heirs and assigns forever That before the Ensealing hereof I am the true and Sole owner of and Seisor of the before mentioned Premises with the appurtenances and have good Right full power and lawfull authority to confirm the Same as aforesaid and that freely and Clearly Executed acquitted and Discharged of and from all former or other gifts grants bargains",Deed of Conveyance,Roger Cooley,Joseph Frost,,"Multiple parcels including 10 acres, 3 acres, 1.5 acres, 6 acres, 58 acres, 9 acres, and 12 acres","West side of Jonathan Morgan's Homestead, South and west on land of Benjamin and Stephen Norton, East on John Norton's land, North on Stephen Norton's land, East on the River, South on the River and North on the Hill, North on the hill and South on the brook",Several tracts in Skipmuck and the Home field,Springfield,,,,
000001-0489,"To all People to whom These Presents Shall Come Greeting. Know ye that I Amos Kingsley of a Place called Number Four in the County of Hampshire in the Province of the Massachusetts Bay in new England, Husbandman, in Consideration of the Sum of one Hundred pound lawful money to me in hand well and truly paid by Reuben Ely of Springfield in the County aforesaid, Husbandman, The Receipt whereof I do acknowledge and my self therewith fully Satisfied and paid Have given granted bargained sold aliened and Conveyed to him the said Reuben Ely his Heirs and assigns forever, a certain piece of Land lying in said Township Number Four being the House lots Number Ten and Number Eleven Containing in the whole Ninety acres besides allowance for a road across the Same and part of a road East and west the length of the lot as may appear by the Records and is bounded as follows west on House lott Number Twelve South on Number Sixty three and Sixty four East on Number one and Number two and Number Nine, North on Number Eighteen or a road (for the more particular bounds See the Proprietors Books of Records) and also one Seventh part of a Sawmill Standing partly on said lot Number ten with the appurtenances reserving always to the other owners of the said Sawmill liberty to use Occupy and Improve the Same with Yard Room &c as much as is needed on Said lot according to their Right; To Have and To Hold the above bargained premises with the appurtenances to the Same belonging or in anywise appertaining to him the said Reuben Ely his Heirs and assigns forever to his and their only proper use benefit and behoof forever. And I the said Amos Kingsley for my Self my Heirs and administrators Do covenant with the said Reuben Ely his Heirs and assigns that I am the true Sole and lawful owner of the above bargained premises and am lawfully Seized of the Same in my own proper Right as an absolute Estate of Inheritance in fee Simple and have good Right to Sell in manner aforesaid, and that the said Reuben Ely may from time to time and at all times Occupy Possess and Enjoy the Same Free of all Incumbrances of what Name or Nature soever. Furthermore I...",Deed,Amos Kingsley,Reuben Ely,,Ninety acres,"West on House lott Number Twelve, South on Number Sixty three and Sixty four, East on Number one and Number two and Number Nine, North on Number Eighteen or a road","House lots Number Ten and Number Eleven in Township Number Four, plus one Seventh part of a Sawmill",Number Four,Hampshire,,,
